,C_LAT,C_LONG,H_LAT,H_LONG
0,-12.081203,-76.925824,-12.08056,-76.935326
1,-12.070522,-76.911125,-12.077555,-76.916337
2,-12.079346,-76.925444,-12.077555,-76.916337
3,-12.075907,-76.96178899999998,-12.082384,-76.96898799999998
4,-12.068376,-76.968344,-12.070364,-76.967566
5,-12.076315,-76.971653,-12.085025,-76.97716
6,-12.055312,-77.041668,-12.052711,-77.04196299999998
7,-12.026728,-77.07487999999998,-12.028524,-77.076463
8,-12.127503,-77.00927799999998,-12.127158,-77.013495
9,-11.874682,-77.12506299999998,-11.872915,-77.125724
10,-12.182649,-76.94479099999998,-12.177766,-76.945502
11,-12.17996,-76.94041,-12.177766,-76.945502
12,-12.205629,-76.95383699999998,-12.20371,-76.95026799999998
13,-11.956939,-77.068627,-11.951363,-77.05935599999998
14,-11.868345,-77.07454099999998,-11.870332,-77.07055699999998
15,-11.890939,-77.12634199999998,-11.892633,-77.127639
16,-12.157538,-76.964186,-12.160672,-76.95711799999998
17,-12.159761,-76.958842,-12.161134,-76.958792
18,-12.179988,-76.941772,-12.177766,-76.945502
19,-12.143662,-76.97240499999998,-12.144143,-76.973577
20,-12.129871,-76.975077,-12.130243,-76.981031
21,-12.121049,-76.97454299999998,-12.130243,-76.981031
22,-12.166426,-76.95250299999998,-12.165497,-76.953226
23,-12.094244,-76.967572,-12.10031,-76.971125
24,-12.07224,-77.16751999999998,-12.07111,-77.16643
25,-12.008339,-77.004834,-12.006369,-77.006313
26,-11.970578,-76.995041,-11.970829,-76.995232
27,-11.969948,-76.994577,-11.970829,-76.995232
28,-11.978144,-76.991533,-11.970829,-76.995232
29,-12.01772,-77.000748,-12.017294,-77.00107099999998
30,-12.020263,-76.99984499999998,-12.022758,-77.000873
31,-12.039927,-76.996942,-12.039843,-76.99722699999998
32,-12.045415,-76.99885399999998,-12.044686,-76.99806499999998
33,-12.092526,-77.073822,-12.092142,-77.07423099999998
34,-12.082782,-77.085036,-12.078274,-77.086809
35,-12.08789,-77.08197,-12.078274,-77.086809
36,-12.087606,-77.089347,-12.078274,-77.086809
37,-12.075715,-77.118373,-12.069576,-77.117976
38,-12.072098,-77.125015,-12.072233,-77.12438199999998
39,-12.071115,-77.126587,-12.072233,-77.12438199999998
40,-11.98054,-77.07157999999998,-11.981544,-77.07218
41,-12.003017,-77.054901,-12.005747,-77.052474
42,-12.017677,-77.05605199999998,-12.017477,-77.05806699999998
43,-12.083012,-77.03952599999998,-12.079893,-77.039398
44,-12.048297,-77.045145,-12.047134,-77.042479
45,-12.042657,-76.97752599999998,-12.042445,-76.974725
46,-12.048366,-76.977314,-12.043567,-76.97517
47,-12.032034,-77.073088,-12.032111,-77.066517
48,-12.030729,-77.085514,-12.031218,-77.081568
49,-12.000142,-77.084253,-12.001862,-77.10729999999998
50,-11.985487,-77.073643,-11.983645,-77.062899
51,-11.985296,-77.065427,-11.983645,-77.062899
52,-11.97646,-77.07317999999998,-11.977677,-77.07427099999998
53,-11.96915,-77.07226,-11.976781,-77.06330199999998
54,-11.965919,-77.07343299999998,-11.976781,-77.06330199999998
55,-12.05183,-77.070938,-12.049179,-77.068664
56,-12.06134,-77.06668,-12.064025,-77.057893
57,-12.06663,-77.06752199999998,-12.066788,-77.073181
58,-12.067015,-77.054213,-12.064025,-77.057893
59,-12.155363,-76.97676199999998,-12.153017,-76.975122
60,-12.155823,-76.975615,-12.157762,-76.974844
61,-12.158867,-76.971593,-12.161379,-76.973275
62,-12.181842,-76.962396,-12.177447,-76.965886
63,-12.185918,-76.96007299999998,-12.198331,-76.952506
64,-12.203698,-76.953669,-12.20371,-76.95026799999998
65,-12.213851,-76.948704,-12.219091,-76.945509
66,-12.206406,-76.94776199999998,-12.20371,-76.95026799999998
67,-12.199599,-76.951738,-12.198331,-76.952506
68,-12.195055,-76.952854,-12.198331,-76.952506
69,-12.195289,-76.95806799999998,-12.198331,-76.952506
70,-12.170991,-76.96822799999998,-12.167289,-76.964965
71,-12.084437,-77.026273,-12.086498,-77.02764
72,-12.099122,-77.026678,-12.103399,-77.026207
73,-12.066902,-77.060534,-12.070875,-77.05931699999998
74,-12.02112,-76.95905399999998,-12.032369,-76.962412
75,-12.065001,-77.037772,-12.062734,-77.039266
76,-12.072322,-77.03639699999998,-12.072507,-77.038396
77,-12.081338,-77.022008,-12.081379,-77.020143
78,-12.085331,-77.02121099999998,-12.081379,-77.020143
79,-12.085204,-77.031307,-12.082957,-77.03272699999998
80,-12.073832,-76.951426,-12.062048,-76.94530799999998
81,-12.021364,-77.05104799999998,-12.022894,-77.055389
82,-11.965225,-77.05591099999998,-11.966313,-77.056399
83,-11.953371,-77.051934,-11.953812,-77.049272
84,-11.953001,-77.050627,-11.953812,-77.049272
85,-11.91654,-77.04076399999998,-11.913971,-77.039525
86,-11.878721,-77.025238,-11.879687,-77.019867
87,-12.058411,-77.048372,-12.053976,-77.04814
88,-12.100428,-76.792111,-12.026567,-76.822596
89,-12.080486,-77.07494099999998,-12.078274,-77.086809
90,-12.095647,-77.07297699999998,-12.092142,-77.07423099999998
91,-12.092029,-77.079778,-12.092142,-77.07423099999998
92,-12.082576,-77.07846499999998,-12.078274,-77.086809
93,-12.084633,-77.075129,-12.087805,-77.072422
94,-12.08287,-77.07416,-12.087805,-77.072422
95,-12.065945,-77.097474,-12.070561,-77.093362
96,-12.038916,-77.090541,-12.042956,-77.09869299999998
97,-11.944076,-77.08851199999998,-11.944327,-77.08753
98,-12.029107,-77.04453499999998,-12.028134,-77.046369
99,-12.030774,-77.046155,-12.028134,-77.046369
100,-12.032709,-76.956731,-12.032369,-76.962412
101,-12.047201,-76.9705,-12.043567,-76.97517
102,-12.177929,-76.939482,-12.177766,-76.945502
103,-12.089006,-77.05387,-12.087944,-77.054682
104,-12.080255,-77.07444599999998,-12.078274,-77.086809
105,-12.111074,-77.02906,-12.109709,-77.02737
106,-12.049739,-77.050731,-12.051836,-77.04604399999998
107,-12.05999,-77.054519,-12.064025,-77.057893
108,-12.040712,-77.043581,-12.044985,-77.044013
109,-12.084465,-77.019743,-12.081379,-77.020143
110,-12.034426,-77.094319,-12.042956,-77.09869299999998
111,-12.06165,-77.042991,-12.061763,-77.04250899999998
112,-11.977471,-77.080736,-11.977677,-77.07427099999998
113,-11.98792,-77.09791,-11.98778,-77.09901999999998
114,-12.02231,-77.010869,-12.022219,-77.00641299999998
115,-11.989607,-77.015111,-11.989792,-77.011026
116,-11.969861,-77.005269,-11.965937,-77.00242699999998
117,-11.960123,-76.98429,-11.959784,-76.988667
118,-11.965958,-76.987623,-11.964664,-76.990649
119,-11.984296,-76.99389499999998,-11.970829,-76.995232
120,-11.98254,-77.011188,-11.983311,-77.011464
121,-12.06848,-77.006375,-12.067429,-77.01400499999998
122,-12.077832,-76.998357,-12.079766,-77.001779
123,-12.031466,-77.03787199999998,-12.036049,-77.037701
124,-12.034827,-77.030163,-12.031578,-77.03082899999998
125,-11.934701,-77.055897,-11.935852,-77.051615
126,-11.93155,-77.05637,-11.930155,-77.057024
127,-11.920773,-77.042238,-11.918637,-77.043718
128,-11.906851,-77.035525,-11.905544,-77.036029
129,-11.901515,-77.039319,-11.899205,-77.038696
130,-11.895716,-77.037649,-11.89596,-77.037782
131,-12.211564,-76.909278,-12.210271,-76.907281
132,-11.928847,-77.05567999999998,-11.930155,-77.057024
133,-11.934173,-77.061475,-11.930155,-77.057024
134,-12.005932,-77.05037699999998,-12.005747,-77.052474
135,-12.005381,-77.050995,-12.005747,-77.052474
136,-12.003444,-77.05276399999998,-12.005747,-77.052474
137,-12.001284,-77.05321399999998,-11.99762,-77.05395199999998
138,-11.992794,-77.05149299999998,-11.989343,-77.05893299999998
139,-11.94213,-77.03127999999998,-11.94034,-77.04665
140,-11.925402,-77.038905,-11.925215,-77.042859
141,-11.929695,-77.056764,-11.930155,-77.057024
142,-11.93354,-77.05947999999998,-11.930155,-77.057024
143,-11.935927,-77.058738,-11.935852,-77.051615
144,-11.938512,-77.061651,-11.941786,-77.06310499999998
145,-11.945133,-77.063438,-11.941786,-77.06310499999998
146,-11.912966,-77.05222899999998,-11.916084,-77.05471799999998
147,-11.924377,-77.052771,-11.9294,-77.04993299999998
148,-11.929952,-77.049683,-11.9294,-77.04993299999998
149,-11.952045,-77.050838,-11.950983,-77.04994499999998
150,-11.95103,-77.063056,-11.951363,-77.05935599999998
151,-11.94674,-77.061696,-11.947192,-77.058935
152,-11.938975,-77.052862,-11.935852,-77.051615
153,-11.93358,-77.05831,-11.930155,-77.057024
154,-12.163002,-76.94480299999998,-12.162077,-76.945306
155,-12.16591,-76.95567,-12.165497,-76.953226
156,-12.123938,-77.013244,-12.127158,-77.013495
157,-12.127316,-77.012293,-12.127158,-77.013495
158,-12.129203,-77.00967699999998,-12.127158,-77.013495
159,-12.144261,-76.997371,-12.14535,-76.98790599999998
160,-12.147725,-76.975402,-12.144143,-76.973577
161,-12.136941,-76.964118,-12.135469,-76.96350099999998
162,-12.137149,-76.963823,-12.135469,-76.96350099999998
163,-12.160676,-76.967144,-12.163072,-76.965297
164,-12.163528,-76.96101299999998,-12.160672,-76.95711799999998
165,-12.187165,-76.95925099999998,-12.190479,-76.957289
166,-12.216562,-76.9415,-12.219091,-76.945509
167,-12.21977,-76.93971,-12.219091,-76.945509
168,-12.229353,-76.93384399999998,-12.221659,-76.934038
169,-11.92249,-77.060395,-11.930155,-77.057024
170,-11.925654,-77.04555899999998,-11.925215,-77.042859
171,-12.15452,-77.019627,-12.155444,-77.020797
172,-12.160983,-77.023667,-12.162155,-77.02381599999998
173,-12.188766,-77.012898,-12.183889,-77.008213
174,-12.206382,-77.01751799999998,-12.207803,-77.01227
175,-12.204741,-77.01116299999998,-12.207803,-77.01227
176,-12.16692,-77.02396,-12.167124,-77.025873
177,-12.18972,-76.93062999999998,-12.1928,-76.92751
178,-12.188165,-76.92948099999998,-12.1928,-76.92751
